millesime,case,sum,label,ntot
2022,_911235,5789178,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Quantité,3106
2023,_911235,5977829,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Quantité,3215
2024,_911235,6224511,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Quantité,3234
2025,_911235,4900549,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Quantité,2057
2022,_911236,30277400.94,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Montant,3106
2023,_911236,31264045.67,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Montant,3215
2024,_911236,32554192.53,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Montant,3234
2025,_911236,25629871.27,Tarif plein pour un usage en tant que carburant (hors cogénération) - TICGN Fournisseur - Taux plein - Montant,2057
2022,_911237,58552445,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Quantité,3106
2023,_911237,1615957,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Quantité,3215
2024,_911237,14784040,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Quantité,3234
2025,_911237,529315,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Quantité,2057
2022,_911238,493597111.35,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Montant,3106
2023,_911238,13622517.51,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Montant,3215
2024,_911238,124629457.2,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Montant,3234
2025,_911238,4462125.45,Tarif plein pour un usage combustible ou cogénération au titre de l'année N - TICGN - Taux plein - Montant,2057
2022,_911239,245440933,TOTAL - TICGN Fournisseur - Taux plein - Quantité,3106
2023,_911239,217963106,TOTAL - TICGN Fournisseur - Taux plein - Quantité,3215
2024,_911239,225827878,TOTAL - TICGN Fournisseur - Taux plein - Quantité,3234
2025,_911239,164204132,TOTAL - TICGN Fournisseur - Taux plein - Quantité,2057
2022,_911240,2046919718,TOTAL - TICGN Fournisseur - Taux plein - Montant,3106
2023,_911240,1807495212,TOTAL - TICGN Fournisseur - Taux plein - Montant,3215
2024,_911240,3165089973,TOTAL - TICGN Fournisseur - Taux plein - Montant,3234
2025,_911240,2711361336,TOTAL - TICGN Fournisseur - Taux plein - Montant,2057
2022,_911241,56540361,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Quantité,3106
2023,_911241,51728556,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Quantité,3215
2024,_911241,53145216,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Quantité,3234
2025,_911241,37413048,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Quantité,2057
2022,_911242,85941348.72,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Montant,3106
2023,_911242,78627405.12,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Montant,3215
2024,_911242,80780728.32,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Montant,3234
2025,_911242,56867832.96,Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICGN Fournisseur - Taux réduits - Montant,2057
2022,_911243,7080229,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICGN Fournisseur - Taux réduits - Quantité",3106
