perimetre,millesime,tarif,quantite,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,taux_taxation_net,hors_calculateur,n_sous_cellules,decomposition_homogene,regime_fiscal,regime_fiscal_n,secteur_economique,secteur_economique_n,agents,agents_n,type_de_produit,type_de_produit_n,gaz_a_effet_de_serre,gaz_a_effet_de_serre_n,unite_tarif,unite_quantite
Carbone,2014,0.0,121.871013772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,,36,,7,,2,,5,,2,euro/tCO2,MtCO2
Carbone,2014,0.592499651,0.411692592,0.5924996514707932,0.0,0.0,0.0,0.0,0.0,0.5924996514707932,0.0,1,True,Gaz - Agriculture,1,Agriculture,1,Entreprises et administrations,1,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,0.594729345,0.12480312,0.5947293447293448,0.0,0.0,0.0,0.0,0.0,0.5947293447293448,0.0,1,True,Fioul lourd - Agriculture,1,Agriculture,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,3.089304258,0.20141485,3.089304257528557,0.0,0.0,0.0,0.0,0.0,3.089304257528557,0.0,1,True,Charbon - Grande consommation et quotas ETS,1,,5,Entreprises et administrations,1,Charbon,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,3.272827283,0.066756856,3.272827282728273,0.0,0.0,0.0,0.0,0.0,3.272827282728273,0.0,1,True,Charbon - Grande consommation et quotas ETS,1,,2,Entreprises et administrations,1,Charbon,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,3.494244773,0.365636278,3.494244773314541,0.0,0.0,0.0,0.0,0.0,3.494244773314541,0.0,1,True,Charbon - Grande consommation et quotas ETS,1,,5,Entreprises et administrations,1,Charbon,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,4.08,8.52042986,4.08,0.0,0.0,0.0,0.0,0.0,4.08,0.0,1,True,,2,Energie,1,Entreprises et administrations,1,,2,,2,euro/tCO2,MtCO2
Carbone,2014,5.893205983,84.03527302399999,0.0,0.0,0.0,5.893205983140452,1.2922156557900957,0.0,0.0,5.893205983140452,2,False,,27,,3,Entreprises et administrations,1,,4,,2,euro/tCO2,MtCO2
Carbone,2014,5.924996515,0.500707402,5.924996514707932,0.0,0.0,0.0,0.0,0.0,5.924996514707932,0.0,1,True,Gaz - Grande consommation et quotas ETS,1,Energie,1,Entreprises et administrations,1,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,6.258114995,25.586164331,6.258114995467277,7.0,0.0,0.0,0.0,0.0,6.258114995467277,0.0,1,True,Gaz - Combustible,1,Résidentiel ménages,1,Ménages,1,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,6.323315608,22.482217464,6.323315608133676,7.0,0.0,0.0,0.0,0.0,6.323315608133676,0.0,1,True,,2,,3,Entreprises et administrations,1,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,7.019230769,0.206119956,7.019230769230769,7.0,0.0,0.0,0.0,0.0,7.019230769230769,0.0,1,True,Fioul lourd - Combustible,1,,3,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,7.667642548,0.754257156,7.66764254844556,7.0,0.0,0.0,0.0,0.0,7.66764254844556,0.0,1,True,Gaz - Carburant,1,,2,,2,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,8.982510241,0.196160632,3.089304257528557,0.0,0.0,5.893205983140451,0.5985442591344824,0.0,3.089304257528557,5.893205983140451,2,False,Charbon - Grande consommation et quotas ETS,1,,2,Entreprises et administrations,1,Charbon,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,9.166033266,0.076987855,3.272827282728273,0.0,0.0,5.893205983140451,0.6447007103909631,0.0,3.272827282728273,5.893205983140451,2,False,Charbon - Grande consommation et quotas ETS,1,,2,Entreprises et administrations,1,Charbon,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,9.387450756,0.519843706,3.4942447733145414,0.0,0.0,5.893205983140452,0.4507285068902769,0.0,3.4942447733145414,5.893205983140452,2,False,Charbon - Grande consommation et quotas ETS,1,,2,Entreprises et administrations,1,Charbon,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,11.818202498,18.818847095,5.924996514707932,0.0,0.0,5.893205983140451,2.4358041190406428,0.0,5.924996514707932,5.893205983140451,2,False,Gaz - Grande consommation et quotas ETS,1,,2,Entreprises et administrations,1,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,12.216521591,1.8921864780000002,6.323315608133676,7.0,0.0,5.893205983140451,0.1684656321714931,0.0,6.323315608133676,5.893205983140451,2,False,Gaz - Combustible,1,,2,Entreprises et administrations,1,Gaz,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,12.912436752,0.692481863,7.019230769230768,6.999999999999999,0.0,5.893205983140451,0.6381706553132335,0.0,7.019230769230768,5.893205983140451,2,False,Fioul lourd - Combustible,1,,2,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,14.386470922,8.827649116,14.38647092219325,0.0,0.0,0.0,0.0,0.0,14.38647092219325,0.0,1,True,Gazole Non Routier - Agriculture,1,Agriculture,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,16.5,15.434783856,0.0,0.0,0.0,16.5,0.0,0.0,0.0,16.5,1,True,HFC règlement F-Gaz,1,,7,,2,Non combustible,1,Non,1,euro/tCO2,MtCO2
Carbone,2014,20.880445703,14.059356071,20.88044570267767,7.0,0.0,0.0,0.0,0.0,20.88044570267767,0.0,1,True,Fioul domestique - Combustible,1,Résidentiel ménages,1,Ménages,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,21.0979901,7.706444767,21.09799009960041,7.0,0.0,0.0,0.0,0.0,21.09799009960041,0.0,1,True,Fioul domestique - Combustible,1,,5,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,26.991196083,-0.15669705,21.09799009960041,7.0,0.0,5.893205983140451,2.9466029915702254,0.0,21.09799009960041,5.893205983140451,2,False,Fioul domestique - Combustible,1,,2,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,29.05,11.95185171,29.05,0.0,0.0,0.0,0.0,0.0,29.05,0.0,1,True,Méthane stockage déchets,1,Energie,1,Entreprises et administrations,1,Déchets et biomasse,1,Non,1,euro/tCO2,MtCO2
Carbone,2014,29.166118554,2.965074129,29.16611855417996,7.0,0.0,0.0,0.0,0.0,29.16611855417996,0.0,1,True,Gazole Non Routier,1,Industrie,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,33.026182382,1.676774068,33.02618238206,7.0,0.0,0.0,0.0,0.0,33.02618238206,0.0,1,True,Gazole Non Routier,1,,3,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,35.059324537,0.11074232299999999,29.166118554179963,7.000000000000001,0.0,5.893205983140451,0.5361030259669707,0.0,29.166118554179963,5.893205983140451,2,False,Gazole Non Routier,1,Industrie,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,38.919388365,0.498000945,33.02618238206,7.0,0.0,5.893205983140451,0.8238096301275081,0.0,33.02618238206,5.893205983140451,2,False,Gazole Non Routier,1,Energie,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,44.135010077,0.23607207,44.13501007726749,7.0,0.0,0.0,0.0,0.0,44.13501007726749,0.0,1,True,GPL - Carburant,1,,2,,2,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,112.572314666,0.410924944,112.5723146657124,0.0,0.0,0.0,0.0,0.0,112.5723146657124,0.0,1,True,Gazole - Taxis,1,Transports entreprises,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,142.56364908,0.429919672,142.5636490804403,7.0,0.0,0.0,0.0,0.0,142.5636490804403,0.0,1,True,Kerosene combustible,1,Résidentiel ménages,1,Ménages,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,146.083079859,2.257186795,146.0830798592473,0.0,0.0,0.0,0.0,0.0,146.0830798592473,0.0,1,True,Gazole - Transport public,1,Transports entreprises,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
Carbone,2014,150.788237077,1.393075003,150.7882370774595,7.0,0.0,0.0,0.0,0.0,150.7882370774595,0.0,1,True,Kerosene - Carburant armée,1,Tertiaire,1,Entreprises et administrations,1,Pétrole,1,Oui,1,euro/tCO2,MtCO2
