perimetre,millesime,tarif,rang,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,quantite,unite_tarif,unite_quantite
Carbone,2014,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,121.871013772,euro/tCO2,MtCO2
Carbone,2014,0.592499651,1,0.5924996514707932,0.0,0.0,0.0,0.0,0.0,0.411692592,euro/tCO2,MtCO2
Carbone,2014,0.594729345,1,0.5947293447293448,0.0,0.0,0.0,0.0,0.0,0.12480312,euro/tCO2,MtCO2
Carbone,2014,3.089304258,1,3.089304257528557,0.0,0.0,0.0,0.0,0.0,0.20141485,euro/tCO2,MtCO2
Carbone,2014,3.272827283,1,3.272827282728273,0.0,0.0,0.0,0.0,0.0,0.066756856,euro/tCO2,MtCO2
Carbone,2014,3.494244773,1,3.494244773314541,0.0,0.0,0.0,0.0,0.0,0.365636278,euro/tCO2,MtCO2
Carbone,2014,4.08,1,4.08,0.0,0.0,0.0,0.0,0.0,8.52042986,euro/tCO2,MtCO2
Carbone,2014,5.893205983,1,0.0,0.0,0.0,5.893205983140451,0.0,0.0,65.608682175,euro/tCO2,MtCO2
Carbone,2014,5.893205983,2,0.0,0.0,0.0,5.893205983140451,5.893205983140451,0.0,18.426590849,euro/tCO2,MtCO2
Carbone,2014,5.924996515,1,5.924996514707932,0.0,0.0,0.0,0.0,0.0,0.500707402,euro/tCO2,MtCO2
Carbone,2014,6.258114995,1,6.258114995467277,7.0,0.0,0.0,0.0,0.0,25.586164331,euro/tCO2,MtCO2
Carbone,2014,6.323315608,1,6.323315608133676,7.0,0.0,0.0,0.0,0.0,22.482217464,euro/tCO2,MtCO2
Carbone,2014,7.019230769,1,7.019230769230769,7.0,0.0,0.0,0.0,0.0,0.206119956,euro/tCO2,MtCO2
Carbone,2014,7.667642548,1,7.66764254844556,7.0,0.0,0.0,0.0,0.0,0.754257156,euro/tCO2,MtCO2
Carbone,2014,8.982510241,1,3.089304257528557,0.0,0.0,5.893205983140451,0.0,0.0,0.176237551,euro/tCO2,MtCO2
Carbone,2014,8.982510241,2,3.089304257528557,0.0,0.0,5.893205983140451,5.893205983140451,0.0,0.019923081,euro/tCO2,MtCO2
Carbone,2014,9.166033266,1,3.272827282728273,0.0,0.0,5.893205983140451,0.0,0.0,0.068565593,euro/tCO2,MtCO2
Carbone,2014,9.166033266,2,3.272827282728273,0.0,0.0,5.893205983140451,5.893205983140451,0.0,0.008422262,euro/tCO2,MtCO2
Carbone,2014,9.387450756,1,3.494244773314541,0.0,0.0,5.893205983140451,0.0,0.0,0.480084638,euro/tCO2,MtCO2
Carbone,2014,9.387450756,2,3.494244773314541,0.0,0.0,5.893205983140451,5.893205983140451,0.0,0.039759068,euro/tCO2,MtCO2
Carbone,2014,11.818202498,1,5.924996514707932,0.0,0.0,5.893205983140451,0.0,0.0,11.040563865,euro/tCO2,MtCO2
Carbone,2014,11.818202498,2,5.924996514707932,0.0,0.0,5.893205983140451,5.893205983140451,0.0,7.77828323,euro/tCO2,MtCO2
Carbone,2014,12.216521591,1,6.323315608133676,7.0,0.0,5.893205983140451,0.0,0.0,1.83809565,euro/tCO2,MtCO2
Carbone,2014,12.216521591,2,6.323315608133676,7.0,0.0,5.893205983140451,5.893205983140451,0.0,0.054090828,euro/tCO2,MtCO2
Carbone,2014,12.912436752,1,7.019230769230769,7.0,0.0,5.893205983140451,0.0,0.0,0.617493545,euro/tCO2,MtCO2
Carbone,2014,12.912436752,2,7.019230769230769,7.0,0.0,5.893205983140451,5.893205983140451,0.0,0.074988318,euro/tCO2,MtCO2
Carbone,2014,14.386470922,1,14.38647092219325,0.0,0.0,0.0,0.0,0.0,8.827649116,euro/tCO2,MtCO2
Carbone,2014,16.5,1,0.0,0.0,0.0,16.5,0.0,0.0,15.434783856,euro/tCO2,MtCO2
Carbone,2014,20.880445703,1,20.88044570267767,7.0,0.0,0.0,0.0,0.0,14.059356071,euro/tCO2,MtCO2
Carbone,2014,21.0979901,1,21.09799009960041,7.0,0.0,0.0,0.0,0.0,7.706444767,euro/tCO2,MtCO2
Carbone,2014,26.991196083,1,21.09799009960041,7.0,0.0,5.893205983140451,5.893205983140451,0.0,-0.029796138,euro/tCO2,MtCO2
Carbone,2014,26.991196083,2,21.09799009960041,7.0,0.0,5.893205983140451,0.0,0.0,-0.126900912,euro/tCO2,MtCO2
Carbone,2014,29.05,1,29.05,0.0,0.0,0.0,0.0,0.0,11.95185171,euro/tCO2,MtCO2
Carbone,2014,29.166118554,1,29.16611855417996,7.0,0.0,0.0,0.0,0.0,2.965074129,euro/tCO2,MtCO2
Carbone,2014,33.026182382,1,33.02618238206,7.0,0.0,0.0,0.0,0.0,1.676774068,euro/tCO2,MtCO2
Carbone,2014,35.059324537,1,29.16611855417996,7.0,0.0,5.893205983140451,0.0,0.0,0.10066813,euro/tCO2,MtCO2
Carbone,2014,35.059324537,2,29.16611855417996,7.0,0.0,5.893205983140451,5.893205983140451,0.0,0.010074193,euro/tCO2,MtCO2
Carbone,2014,38.919388365,1,33.02618238206,7.0,0.0,5.893205983140451,0.0,0.0,0.428385531,euro/tCO2,MtCO2
Carbone,2014,38.919388365,2,33.02618238206,7.0,0.0,5.893205983140451,5.893205983140451,0.0,0.069615414,euro/tCO2,MtCO2
