perimetre,dimension,regime,categorie,millesime,part,source
Carbone,Agents,Autres gaz fluorés,,,1.0,inconnu
Carbone,Agents,Autres produits pétroliers,Entreprises et administrations,,1.0,observe
Carbone,Agents,Autres produits pétroliers - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,Autres produits pétroliers - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,CO2 non énergétique,,,1.0,inconnu
Carbone,Agents,CO2 non énergétique incinération déchets,Entreprises et administrations,,1.0,observe
Carbone,Agents,CO2 non énergétique procédés industriels,Entreprises et administrations,,1.0,observe
Carbone,Agents,CO2 énergétique incinération déchets,Entreprises et administrations,,1.0,observe
Carbone,Agents,Charbon - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,Charbon - Grande consommation et quotas ETS,Entreprises et administrations,,1.0,observe
Carbone,Agents,Charbon - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,Charbon - Prod. Électricité,Entreprises et administrations,,1.0,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2014,0.1120812040651878,observe
Carbone,Agents,E10 - transport routier,Ménages,2014,0.8879187959348122,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2015,0.12111664609318556,observe
Carbone,Agents,E10 - transport routier,Ménages,2015,0.8788833539068144,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2016,0.11823189934282212,observe
Carbone,Agents,E10 - transport routier,Ménages,2016,0.8817681006571779,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2017,0.1261469885218516,observe
Carbone,Agents,E10 - transport routier,Ménages,2017,0.8738530114781485,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2018,0.1358399039458281,observe
Carbone,Agents,E10 - transport routier,Ménages,2018,0.8641600960541718,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2019,0.14240223626264925,observe
Carbone,Agents,E10 - transport routier,Ménages,2019,0.8575977637373509,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2020,0.14460917389921205,observe
Carbone,Agents,E10 - transport routier,Ménages,2020,0.8553908261007879,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2021,0.1681218547468964,observe
Carbone,Agents,E10 - transport routier,Ménages,2021,0.8318781452531037,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2022,0.16561211073592066,observe
Carbone,Agents,E10 - transport routier,Ménages,2022,0.8343878892640793,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2023,0.16813972371376765,observe
Carbone,Agents,E10 - transport routier,Ménages,2023,0.8318602762862325,observe
Carbone,Agents,E10 - transport routier,Entreprises et administrations,2024*,0.16813972371376765,observe
Carbone,Agents,E10 - transport routier,Ménages,2024*,0.8318602762862325,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2017,0.10453387493033056,observe
Carbone,Agents,E85 - transport routier,Ménages,2017,0.8954661250696695,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2018,0.11767584636923314,observe
Carbone,Agents,E85 - transport routier,Ménages,2018,0.8823241536307669,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2019,0.1343870891294748,observe
Carbone,Agents,E85 - transport routier,Ménages,2019,0.8656129108705253,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2020,0.1246547569690045,observe
Carbone,Agents,E85 - transport routier,Ménages,2020,0.8753452430309955,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2021,0.15619748023780775,observe
Carbone,Agents,E85 - transport routier,Ménages,2021,0.8438025197621923,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2022,0.15498751050345083,observe
Carbone,Agents,E85 - transport routier,Ménages,2022,0.8450124894965492,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2023,0.1577534750941474,observe
Carbone,Agents,E85 - transport routier,Ménages,2023,0.8422465249058527,observe
Carbone,Agents,E85 - transport routier,Entreprises et administrations,2024*,0.1577534750941474,observe
Carbone,Agents,E85 - transport routier,Ménages,2024*,0.8422465249058527,observe
Carbone,Agents,Essence - Bateaux,,,1.0,inconnu
Carbone,Agents,Essence - Taxis,Entreprises et administrations,,1.0,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2014,0.10172269786235384,observe
Carbone,Agents,Essence - transport routier,Ménages,2014,0.8982773021376461,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2015,0.11022079311632882,observe
Carbone,Agents,Essence - transport routier,Ménages,2015,0.8897792068836712,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2016,0.10810685693950309,observe
Carbone,Agents,Essence - transport routier,Ménages,2016,0.8918931430604969,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2017,0.11880994355223991,observe
Carbone,Agents,Essence - transport routier,Ménages,2017,0.8811900564477602,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2018,0.1296663235308227,observe
Carbone,Agents,Essence - transport routier,Ménages,2018,0.8703336764691774,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2019,0.1396458083869007,observe
Carbone,Agents,Essence - transport routier,Ménages,2019,0.8603541916130992,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2020,0.13782572213998412,observe
Carbone,Agents,Essence - transport routier,Ménages,2020,0.8621742778600159,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2021,0.1640398885842297,observe
Carbone,Agents,Essence - transport routier,Ménages,2021,0.8359601114157704,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2022,0.16195690418211822,observe
Carbone,Agents,Essence - transport routier,Ménages,2022,0.8380430958178818,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2023,0.16455937020555486,observe
Carbone,Agents,Essence - transport routier,Ménages,2023,0.8354406297944451,observe
Carbone,Agents,Essence - transport routier,Entreprises et administrations,2024*,0.16455937020555486,observe
Carbone,Agents,Essence - transport routier,Ménages,2024*,0.8354406297944451,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2014,0.3493781042878835,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2014,0.6506218957121165,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2015,0.3747189511915504,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2015,0.6252810488084495,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2016,0.37383637789145946,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2016,0.6261636221085406,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2017,0.3641489676927454,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2017,0.6358510323072546,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2018,0.39455832797086476,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2018,0.6054416720291352,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2019,0.39723818418944856,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2019,0.6027618158105515,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2020,0.4138753847017838,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2020,0.5861246152982161,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2021,0.4289942341047456,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2021,0.5710057658952543,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2022,0.4086063138109869,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2022,0.591393686189013,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2023,0.43746071411755916,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2023,0.5625392858824408,observe
Carbone,Agents,Fioul domestique - Combustible,Entreprises et administrations,2024*,0.43746071411755916,observe
Carbone,Agents,Fioul domestique - Combustible,Ménages,2024*,0.5625392858824408,observe
Carbone,Agents,Fioul domestique - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul domestique - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul domestique - Prod. Électricité,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul lourd - Agriculture,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul lourd - Bateaux,,,1.0,inconnu
Carbone,Agents,Fioul lourd - Combustible,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul lourd - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul lourd - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,Fioul lourd - Prod. Électricité,Entreprises et administrations,,1.0,observe
Carbone,Agents,GPL - Agriculture,Entreprises et administrations,,1.0,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2014,0.3093296180503027,observe
Carbone,Agents,GPL - Carburant,Ménages,2014,0.6906703819496973,observe
Carbone,Agents,GPL - Carburant,Entreprises et administrations,2015,0.35528855111318103,observe
Carbone,Agents,GPL - Carburant,Ménages,2015,0.6447114488868191,observe
