perimetre,regime,produit,millesime,part,source
Carbone,Autres gaz fluorés,Non combustible,,1.0,intitule
Carbone,Autres produits pétroliers,Pétrole,,1.0,intitule
Carbone,Autres produits pétroliers - Double usage,Pétrole,,1.0,intitule
Carbone,Autres produits pétroliers - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,CO2 non énergétique,Non combustible,,1.0,intitule
Carbone,CO2 non énergétique incinération déchets,Non combustible,,1.0,intitule
Carbone,CO2 non énergétique procédés industriels,Non combustible,,1.0,intitule
Carbone,CO2 énergétique incinération déchets,Déchets et biomasse,,1.0,observe
Carbone,Charbon - Double usage,Charbon,,1.0,intitule
Carbone,Charbon - Grande consommation et quotas ETS,Charbon,,1.0,observe
Carbone,Charbon - Prod. min. non métalliques,Charbon,,1.0,intitule
Carbone,Charbon - Prod. Électricité,Charbon,,1.0,intitule
Carbone,E10 - transport routier,Pétrole,,1.0,observe
Carbone,E85 - transport routier,Pétrole,,1.0,observe
Carbone,Essence - Bateaux,Pétrole,,1.0,intitule
Carbone,Essence - Taxis,Pétrole,,1.0,observe
Carbone,Essence - transport routier,Pétrole,,1.0,observe
Carbone,Fioul domestique - Combustible,Pétrole,,1.0,observe
Carbone,Fioul domestique - Double usage,Pétrole,,1.0,intitule
Carbone,Fioul domestique - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Fioul domestique - Prod. Électricité,Pétrole,,1.0,intitule
Carbone,Fioul lourd - Agriculture,Pétrole,,1.0,observe
Carbone,Fioul lourd - Bateaux,Pétrole,,1.0,intitule
Carbone,Fioul lourd - Combustible,Pétrole,,1.0,observe
Carbone,Fioul lourd - Double usage,Pétrole,,1.0,intitule
Carbone,Fioul lourd - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Fioul lourd - Prod. Électricité,Pétrole,,1.0,intitule
Carbone,GPL - Agriculture,Pétrole,,1.0,observe
Carbone,GPL - Carburant,Pétrole,,1.0,observe
Carbone,GPL - Combustible,Pétrole,,1.0,observe
Carbone,GPL - Double usage,Pétrole,,1.0,intitule
Carbone,GPL - Prod. Electricité,Pétrole,,1.0,intitule
Carbone,GPL - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Gaz - Agriculture,Gaz,,1.0,observe
Carbone,Gaz - Carburant,Gaz,,1.0,observe
Carbone,Gaz - Combustible,Gaz,,1.0,observe
Carbone,Gaz - Double usage,Gaz,,1.0,intitule
Carbone,Gaz - Grande consommation et fuite carbone,Gaz,,1.0,observe
Carbone,Gaz - Grande consommation et quotas ETS,Gaz,,1.0,observe
Carbone,Gaz - Prod. Electricité,Gaz,,1.0,intitule
Carbone,Gaz - Prod. min. non métalliques,Gaz,,1.0,intitule
Carbone,Gaz - Prod. produits énergétiques,Gaz,,1.0,intitule
Carbone,Gaz - Usage autre que carburant ou combustible,Gaz,,1.0,intitule
Carbone,Gaz de raffinerie,Pétrole,,1.0,correction
Carbone,Gazole - Taxis,Pétrole,,1.0,observe
Carbone,Gazole - Transport marchandises,Pétrole,,1.0,observe
Carbone,Gazole - Transport public,Pétrole,,1.0,observe
Carbone,Gazole - transport routier,Pétrole,,1.0,observe
Carbone,Gazole Non Routier,Pétrole,,1.0,observe
Carbone,Gazole Non Routier - Agriculture,Pétrole,,1.0,observe
Carbone,Gazole Non Routier - Double usage,Pétrole,,1.0,intitule
Carbone,Gazole Non Routier - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,HFC,Non combustible,,1.0,intitule
Carbone,HFC règlement F-Gaz,Non combustible,,1.0,observe
Carbone,Kerosene - Aéronefs,Pétrole,,1.0,intitule
Carbone,Kerosene - Carburant armée,Pétrole,,1.0,observe
Carbone,Kerosene combustible,Pétrole,,1.0,observe
Carbone,Méthane,Non combustible,,1.0,correction
Carbone,Méthane - production gaz,Gaz,,1.0,intitule
Carbone,Méthane - résidentiel biomasse,Déchets et biomasse,,1.0,intitule
Carbone,Méthane stockage déchets,Déchets et biomasse,,1.0,observe
Carbone,N2O,Non combustible,,1.0,intitule
Carbone,N2O procédés industriels,Non combustible,,1.0,intitule
Energie,Autres produits pétroliers,Pétrole,,1.0,observe
Energie,Autres produits pétroliers - Double usage,Pétrole,,1.0,observe
Energie,Autres produits pétroliers - Prod. min. non métalliques,Pétrole,,1.0,observe
Energie,Aéroports,Électricité,,1.0,observe
Energie,"Bois de chauffage, résidus de bois et autre biomasse solide, charbon de bois",Chaleur et biomasse,,1.0,intitule
Energie,Chaleur,Chaleur et biomasse,,1.0,intitule
Energie,Charbon - Double usage,Charbon,,1.0,observe
Energie,Charbon - Grande consommation et quotas ETS,Charbon,,1.0,observe
Energie,Charbon - Prod. min. non métalliques,Charbon,,1.0,observe
Energie,"Consommations < 1,5kWh/€ de VA",Électricité,,1.0,observe
Energie,"Consommations < 1,5kWh/€ de VA (fuite carbone)",Électricité,,1.0,observe
Energie,Consommations >3kWh/€ de VA,Électricité,,1.0,observe
Energie,Consommations >3kWh/€ de VA (fuite carbone),Électricité,,1.0,observe
Energie,"Consommations entre 1,5 et 3kWh/€ de VA",Électricité,,1.0,observe
Energie,"Consommations entre 1,5 et 3kWh/€ de VA (fuite carbone)",Électricité,,1.0,observe
Energie,Datacenters,Électricité,,1.0,observe
Energie,E10 - transport routier,Chaleur et biomasse,2017,0.07256300087182427,observe
Energie,E10 - transport routier,Pétrole,2017,0.9274369991281757,observe
Energie,E10 - transport routier,Chaleur et biomasse,2018,0.07147811209358498,observe
Energie,E10 - transport routier,Pétrole,2018,0.928521887906415,observe
Energie,E10 - transport routier,Chaleur et biomasse,2019,0.06990850795885718,observe
Energie,E10 - transport routier,Pétrole,2019,0.9300914920411428,observe
Energie,E10 - transport routier,Chaleur et biomasse,2020,0.06703201476585893,observe
Energie,E10 - transport routier,Pétrole,2020,0.9329679852341412,observe
Energie,E10 - transport routier,Chaleur et biomasse,2021,0.06559463059609577,observe
Energie,E10 - transport routier,Pétrole,2021,0.9344053694039042,observe
Energie,E10 - transport routier,Chaleur et biomasse,2022,0.06400412690927576,observe
Energie,E10 - transport routier,Pétrole,2022,0.9359958730907243,observe
Energie,E10 - transport routier,Chaleur et biomasse,2023,0.06065876615237668,observe
Energie,E10 - transport routier,Pétrole,2023,0.9393412338476234,observe
Energie,E10 - transport routier,Chaleur et biomasse,2024*,0.06027012028531887,observe
Energie,E10 - transport routier,Pétrole,2024*,0.9397298797146811,observe
Energie,E85 - transport routier,Chaleur et biomasse,2017,0.6165108484617597,observe
Energie,E85 - transport routier,Pétrole,2017,0.3834891515382402,observe
Energie,E85 - transport routier,Chaleur et biomasse,2018,0.6130173229542057,observe
