plf;numero;annee;statut;montant;unite;montant_meur;chiffrage;montant_brut
2011;040101;2009;realisation;;MEUR;;sans_objet;-
2011;040101;2010;prevision;;MEUR;;sans_objet;-
2012;040101;2010;realisation;;MEUR;;sans_objet;-
2011;040101;2011;prevision_plf;8;MEUR;8;chiffre;8
2012;040101;2011;prevision;12;MEUR;12;chiffre;12
2013;040101;2011;realisation;12;MEUR;12;chiffre;12
2012;040101;2012;prevision_plf;12;MEUR;12;chiffre;12
2013;040101;2012;prevision;6;MEUR;6;chiffre;6
2014;040101;2012;realisation;6;MEUR;6;chiffre;6
2013;040101;2013;prevision_plf;;MEUR;;nc;nc
2014;040101;2013;prevision;5;MEUR;5;chiffre;5
2015;040101;2013;realisation;5;MEUR;5;chiffre;5
2014;040101;2014;prevision_plf;;MEUR;;nc;nc
2015;040101;2014;prevision;3;MEUR;3;chiffre;3
2016;040101;2014;realisation;3;MEUR;3;chiffre;3
2015;040101;2015;prevision_plf;;MEUR;;nc;nc
2016;040101;2015;prevision;2;MEUR;2;chiffre;2
2017;040101;2015;realisation;2;MEUR;2;chiffre;2
2016;040101;2016;prevision_plf;;MEUR;;nc;nc
2017;040101;2016;prevision;1;MEUR;1;chiffre;1
2018;040101;2016;realisation;1;MEUR;1;chiffre;1
2017;040101;2017;prevision_plf;;MEUR;;nc;nc
2018;040101;2017;prevision;0;MEUR;0;epsilon;ε
2019;040101;2017;realisation;0;MEUR;0;epsilon;ε
2018;040101;2018;prevision_plf;;MEUR;;nc;nc
2019;040101;2018;prevision;0;MEUR;0;epsilon;ε
2020;040101;2018;realisation;0;MEUR;0;epsilon;ε
2019;040101;2019;prevision_plf;;MEUR;;nc;nc
2020;040101;2019;prevision;0;MEUR;0;epsilon;ε
2021;040101;2019;realisation;0;MEUR;0;epsilon;ε
2020;040101;2020;prevision_plf;0;MEUR;0;epsilon;ε
2021;040101;2020;prevision;0;MEUR;0;epsilon;ε
2022;040101;2020;realisation;0;MEUR;0;epsilon;ε
2021;040101;2021;prevision_plf;0;MEUR;0;epsilon;ε
