plf;impot;annee;publie;extrait;ecart;n_mesures;n_nc;n_epsilon
2009;1;2007;32003;32003;0;183;13;24
2009;1;2008;34787;34775;-12;183;14;30
2009;1;2009;36377;36365;-12;183;16;30
2009;2;2007;4008;4008;0;59;7;12
2009;2;2008;4581;2956;-1625;59;10;14
2009;2;2009;5411;3786;-1625;59;11;14
2009;3;2007;2973;2973;0;58;7;16
2009;3;2008;3083;2015;-1068;58;13;15
2009;3;2009;3124;1856;-1268;58;15;14
2009;7;2007;12784;12784;0;39;3;1
2009;7;2008;13442;13402;-40;39;4;1
2009;7;2009;14042;14002;-40;39;4;1
2009;8;2007;2189;2189;0;23;0;4
2009;8;2008;2760;2760;0;23;0;5
2009;8;2009;2248;2248;0;23;0;5
2010;1;2008;34532;34532;0;202;14;30
2010;1;2009;38886;38850;-36;202;18;38
2010;1;2010;37519;37468;-51;202;21;38
2010;2;2008;3353;3353;0;58;7;13
2010;2;2009;7879;7859;-20;58;9;15
2010;2;2010;6879;6849;-30;58;10;12
2010;3;2008;3348;3348;0;56;6;15
2010;3;2009;3261;2238;-1023;56;13;12
2010;3;2010;3360;1674;-1686;56;17;12
2010;7;2008;14217;14217;0;42;3;1
2010;7;2009;15305;15285;-20;42;4;1
2010;7;2010;17210;17190;-20;42;4;1
2010;8;2008;2856;2856;0;26;0;3
2010;8;2009;2741;2741;0;26;0;6
2010;8;2010;3125;3125;0;26;0;5
2011;1;2009;36066;36066;0;200;11;34
2011;1;2010;34860;34148;-712;200;18;37
2011;1;2011;33323;32554;-769;200;22;37
2011;2;2009;8429;8429;0;56;6;13
2011;2;2010;7112;7082;-30;56;8;7
2011;2;2011;4956;4926;-30;56;10;8
2011;3;2009;3338;3338;0;55;6;13
2011;3;2010;3188;2483;-705;55;14;11
2011;3;2011;3181;2470;-711;55;16;10
2011;7;2009;14926;14926;0;42;2;2
2011;7;2010;16776;16776;0;42;2;2
2011;7;2011;16869;16869;0;42;2;2
2011;8;2009;2484;2484;0;22;0;6
2011;8;2010;2461;2461;0;22;0;6
2011;8;2011;2144;2144;0;22;0;4
2012;1;2010;35114;35114;0;195;11;33
2012;1;2011;34504;33947;-557;195;18;28
2012;1;2012;33256;32480;-776;195;23;29
2012;2;2010;7412;7412;0;54;6;2
2012;2;2011;5181;5145;-36;54;7;5
2012;2;2012;5490;5314;-176;54;10;5
2012;3;2010;3120;3120;0;54;6;12
2012;3;2011;3157;2349;-808;54;15;10
2012;3;2012;2864;1836;-1028;54;16;12
2012;7;2010;17540;17540;0;42;2;1
2012;7;2011;17690;17690;0;42;2;1
2012;7;2012;17972;17972;0;42;2;1
2012;8;2010;2278;2278;0;26;1;5
2012;8;2011;2219;2219;0;26;1;3
2012;8;2012;2050;2050;0;26;1;3
2013;1;2011;35381;35381;0;191;11;27
2013;1;2012;35633;35084;-549;191;19;27
2013;1;2013;34382;33360;-1022;191;26;27
2013;2;2011;6145;6145;0;55;6;5
2013;2;2012;6269;6227;-42;55;9;4
2013;2;2013;6893;6821;-72;55;11;4
2013;3;2011;4334;4334;0;50;7;10
2013;3;2012;3619;2712;-907;50;10;9
2013;3;2013;3339;1678;-1661;50;15;8
2013;7;2011;18278;18278;0;39;1;1
2013;7;2012;18037;18037;0;39;1;1
2013;7;2013;18452;18432;-20;39;2;1
2013;8;2011;3316;3316;0;24;1;4
2013;8;2012;3306;3306;0;24;1;4
2013;8;2013;3189;3189;0;24;1;4
2014;1;2012;36919;36919;0;191;15;25
2014;1;2013;35974;34292;-1682;191;24;23
2014;1;2014;33379;30705;-2674;191;31;24
