plf_effet;numero_ancien;numero_nouveau;type;libelle;source
2009;170401;250101;renumerotation;Impôt sur le revenu / Bénéfices Neutralisation des conséquences fiscales pour l'exploitant de Impôt sur le revenu et impôt sur;PLF2009 sous-partie III, reclassement par renumérotation
2009;320107;300211;renumerotation;Impôt sur les sociétés / Exonération en matière d'impôt sur les sociétés des revenus Impôt sur les sociétés /;PLF2009 sous-partie III, reclassement par renumérotation
2009;;180309;classement;;PLF2009 sous-partie III, classements
2009;;300112;classement;;PLF2009 sous-partie III, classements
2009;;300210;classement;;PLF2009 sous-partie III, classements
2009;;530211;classement;;PLF2009 sous-partie III, classements
2009;;950101;classement;;PLF2009 sous-partie III, classements
2009;;950102;classement;;PLF2009 sous-partie III, classements
2009;;960101;classement;;PLF2009 sous-partie III, classements
2009;;960102;classement;;PLF2009 sous-partie III, classements
2009;;120138;creation;;PLF2009 sous-parties III et IV, créations
2009;;520209;creation;;PLF2009 sous-parties III et IV, créations
2009;;530212;creation;;PLF2009 sous-parties III et IV, créations
2009;;110201;creation;;PLF2009 sous-parties III et IV, créations
2009;;110229;creation;;PLF2009 sous-parties III et IV, créations
2009;;110233;creation;;PLF2009 sous-parties III et IV, créations
2009;;120131;creation;;PLF2009 sous-parties III et IV, créations
2009;;120136;creation;;PLF2009 sous-parties III et IV, créations
2009;;120504;creation;;PLF2009 sous-parties III et IV, créations
2009;;210306;creation;;PLF2009 sous-parties III et IV, créations
2009;;210309;creation;;PLF2009 sous-parties III et IV, créations
2009;;210315;creation;;PLF2009 sous-parties III et IV, créations
2009;;300211;creation;;PLF2009 sous-parties III et IV, créations
2009;;400110;creation;;PLF2009 sous-parties III et IV, créations
2009;;400113;creation;;PLF2009 sous-parties III et IV, créations
2009;;400202;creation;;PLF2009 sous-parties III et IV, créations
2009;;400203;creation;;PLF2009 sous-parties III et IV, créations
2009;;520104;creation;;PLF2009 sous-parties III et IV, créations
2009;;200216;creation;;PLF2009 sous-parties III et IV, créations
2009;;110226;creation;;PLF2009 sous-parties III et IV, créations
2009;;110247;creation;;PLF2009 sous-parties III et IV, créations
2009;;210313;creation;;PLF2009 sous-parties III et IV, créations
2009;;210316;creation;;PLF2009 sous-parties III et IV, créations
2009;;730213;creation;;PLF2009 sous-parties III et IV, créations
