plf;numero;impot;perimetre;libelle;finalite;creation;modification;fin_fait_generateur;fin_incidence;beneficiaires;fiabilite;norme;methode;reference;mission;changement_methode;regime;page_source
2011;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2009;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;0 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d’aménagement du territoire (P112);;B;158
2012;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2009;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;4 200 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d’aménagement du territoire (P112);;B;192
2013;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2009;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;2 900 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d’aménagement du territoire (P112);;B;184
2014;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2009;dépense fiscale non-bornée;dépense fiscale non-bornée;3 000 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d’aménagement du territoire (P112);;B;188
2015;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2009;dépense fiscale non-bornée;dépense fiscale non-bornée;2 550 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d’aménagement du territoire (P112);;B;188
2016;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2014;2020;2025;2 150 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d'aménagement du territoire (P112);;B;168
2017;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Aider certains espaces géographiques (espaces ruraux);2009;2014;2020;2025;2 300 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Politique des territoires / Impulsion et coordination de la politique d'aménagement du territoire (P112);;B;170
2018;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;;2009;2014;2020;2025;2 740 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Cohésion des territoires / Impulsion et coordination de la politique d'aménagement du territoire (P112);;B;162
2019;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;;2009;2017;2020;2025;2 840 entreprises;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;1465 A, 1586 nonies III;Cohésion des territoires / Impulsion et coordination de la politique d'aménagement du territoire (P112);;B;172
2020;040101;Impôts locaux;depense_fiscale;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;;2009;2017;2020;2025;1 610 Entreprises;Bonne;Absence d'exonération;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 1465 A, 1586 nonies III;Cohésion des territoires/ P112 Impulsion et coordination de la politique d'aménagement du territoire;;C;
