numero;annee;impot;prevu;realise;ecart
140119;2001;Impôt sur le revenu;25800;0;-25800
150510;2001;Impôt sur le revenu;23200;0;-23200
730213;2001;Taxe sur la valeur ajoutée;20200;0;-20200
140301;2001;Impôt sur le revenu;15000;257;-14743
800109;2001;TICPE / produits énergétiques hors gaz et charbons;13500;5;-13495
120401;2001;Impôt sur le revenu;13500;197;-13303
320103;2008;Impôt sur les sociétés;0;12500;12500
120202;2001;Impôt sur le revenu;11000;0;-11000
140101;2001;Impôt sur le revenu;10900;167;-10733
110214;2001;Impôt sur le revenu;9600;0;-9600
110102;2001;Impôt sur le revenu;9500;0;-9500
110106;2001;Impôt sur le revenu;9400;0;-9400
730205;2001;Taxe sur la valeur ajoutée;8000;5;-7995
800201;2001;TICPE / produits énergétiques hors gaz et charbons;6500;102;-6398
150708;2001;Impôt sur le revenu;6000;0;-6000
110306;2001;Impôt sur le revenu;5800;0;-5800
730213;2008;Taxe sur la valeur ajoutée;0;5100;5100
320101;2001;Impôt sur les sociétés;5700;854;-4846
130201;2001;Impôt sur le revenu;5400;800;-4600
140123;2001;Impôt sur le revenu;5400;865;-4535
110227;2007;Impôt sur le revenu;0;4520;4520
520110;2024;Droits d'enregistrement et de timbre;500;5000;4500
110227;2008;Impôt sur le revenu;0;4480;4480
730213;2007;Taxe sur la valeur ajoutée;500;4800;4300
200302;2009;Impôt sur le revenu et impôt sur les sociétés;2010;6200;4190
730303;2001;Taxe sur la valeur ajoutée;5000;832;-4168
140302;2001;Impôt sur le revenu;4300;496;-3804
730210;2001;Taxe sur la valeur ajoutée;4400;660;-3740
140119;2002;Impôt sur le revenu;3506;0;-3506
130204;2001;Impôt sur le revenu;4100;604;-3496
800109;2008;TICPE / produits énergétiques hors gaz et charbons;143;3500;3357
210324;2014;Impôt sur le revenu et impôt sur les sociétés;9760;6438;-3322
120108;2001;Impôt sur le revenu;4100;870;-3230
140117;2001;Impôt sur le revenu;3400;408;-2992
520305;2001;Droits d'enregistrement et de timbre;3900;972;-2928
120117;2001;Impôt sur le revenu;3400;513;-2887
730213;2002;Taxe sur la valeur ajoutée;3201;340;-2861
140102;2001;Impôt sur le revenu;3300;475;-2825
110101;2001;Impôt sur le revenu;3200;520;-2680
110215;2001;Impôt sur le revenu;3000;400;-2600
190101;2001;Impôt sur le revenu;3000;427;-2573
120201;2001;Impôt sur le revenu;3000;450;-2550
230103;2001;Impôt sur le revenu et impôt sur les sociétés;2800;280;-2520
140119;2008;Impôt sur le revenu;0;2500;2500
120401;2008;Impôt sur le revenu;0;2480;2480
140301;2002;Impôt sur le revenu;2714;289;-2425
210324;2015;Impôt sur le revenu et impôt sur les sociétés;10000;12410;2410
730213;2023;Taxe sur la valeur ajoutée;4540;2150;-2390
110204;2001;Impôt sur le revenu;2700;390;-2310
120401;2007;Impôt sur le revenu;0;2290;2290
200302;2001;Impôt sur le revenu et impôt sur les sociétés;2700;460;-2240
140119;2007;Impôt sur le revenu;0;2200;2200
730221;2023;Taxe sur la valeur ajoutée;4180;2000;-2180
410101;2001;Autres impôts directs;2600;450;-2150
110201;2001;Impôt sur le revenu;2500;363;-2137
110222;2008;Impôt sur le revenu;0;2100;2100
800109;2002;TICPE / produits énergétiques hors gaz et charbons;2058;0;-2058
140201;2001;Impôt sur le revenu;2300;270;-2030
560104;2008;Droits d'enregistrement et de timbre;0;2000;2000
140119;2010;Impôt sur le revenu;3000;1000;-2000
110214;2007;Impôt sur le revenu;200;2190;1990
120114;2001;Impôt sur le revenu;2300;339;-1961
730221;2022;Taxe sur la valeur ajoutée;3424;1533;-1891
110104;2001;Impôt sur le revenu;2200;320;-1880
140203;2008;Impôt sur le revenu;0;1850;1850
100201;2001;Impôt sur le revenu;2100;255;-1845
110246;2023;Impôt sur le revenu;7950;6110;-1840
710103;2001;Taxe sur la valeur ajoutée;2500;680;-1820
400202;2001;Autres impôts directs;2100;289;-1811
120401;2002;Impôt sur le revenu;1997;190;-1807
140119;2009;Impôt sur le revenu;2800;1000;-1800
